Numer_zgloszenia;Numer_prawa_wylacznego;Data_Zgloszenia;Numer_BUP;Data_Publikacji_BUP;Numer_WUP;Data_Publikacji_WUP;Nazwa_znaku;Rodzaj_znaku;Uprawnieni;Miasto_uprawnionego;Kraj_uprawnionego;Pelnomocnicy;Klasyfikacja_nicejska;Klasyfikacja_wiedenska;Status_sprawy;
000338;000118;1918-11-28;;;01/1924;1924-05-26;+ GF +;SG;Georg Fischer Aktiengesellschaft;Schaffhausen;CH;Ludwika Przybyło PATPOL KANCELARIA PATENTOWA Sp. z o.o.;NIC: 06 07 09 ;VIE: 2417 2705 ;Udzielenie prawa;
001111;030252;1938-11-23;;;;;LEDLOY;S;Inland Steel Company;Illinois;US;PHZ "Polservice";NIC: 06 ;;Wygaśnięcie prawa ochronnego;
001181;000601;1919-08-01;;;03/1924;1924-07-30;BALLY;SG;BALLY SCHUHFABRIKEN AG;SCHÖNENWERD;CH;PHZ "Polservice";NIC: 25 ;VIE: 2403 2705 ;Wygaśnięcie prawa ochronnego;
001599;011165;1923-05-09;;;;;BOLS;SG;N.V.Koninklijke Distilleerderijen Erven Lucas Bols;Amsterdam;NL;Patpol Sp.z o.o.;NIC: 33 ;VIE: 1907 2005 ;Wygaśnięcie prawa ochronnego;
001836;001817;1919-09-26;;;07/1924;1924-11-29;IDEAL MILK;SG;Société des Produits Nestlé S.A. /Aktiengesellschaft für Nestlé Produkte /Societa Anonima dei Prodotti Nestle /Nestle Products Co. Ltd.;Vevey;CH;PATPOL Spółka z o.o.;NIC: 29 ;VIE: 2705 ;Wygaśnięcie prawa ochronnego;
002224;001450;1921-09-30;;;06/1924;1924-10-31;DMC;SG;DMC;Mulhouse;FR;Izabella Dudek-Urbanowicz PATPOL KANCELARIA PATENTOWA Sp. z o.o.;NIC: 23 ;VIE: 2417 2705 ;Udzielenie prawa;
003257;002237;1919-11-10;;;08/1924;1924-12-31;KLINGERIT;S;Klinger AG;Zug;CH;PHZ "Polservice";NIC: 17 ;;Wygaśnięcie prawa ochronnego;
003539;002473;1919-11-20;;;;;BBB;SG;Adolph Frankau & Co., Ltd.;Londyn;GB;PATPOL Sp.z o.o.;NIC: 33 ;VIE: 2604 2705 ;Wygaśnięcie prawa ochronnego;
003594;002521;1919-11-24;;;01/1925;1925-01-31;S SINGER;SG;The Singer Company Limited;Douglas;GB;Jadwiga Szewczyk Polservice Kancelaria Rzeczników Patentowych Sp. z o.o.;NIC: 23 ;VIE: 0203 1503 2705 ;Udzielenie prawa;
003595;002522;1919-11-24;;;01/1925;1925-01-31;S;SG;The Singer Company Limited;Douglas;GB;Jadwiga Szewczyk Polservice Kancelaria Rzeczników Patentowych Sp. z o.o.;NIC: 07 09 ;VIE: 0101 0203 1503 2705 ;Udzielenie prawa;
003596;002523;1919-11-24;;;01/1925;1925-01-31;SINGER;SG;The Singer Company Limited;Douglas;GB;Jadwiga Szewczyk Polservice Kancelaria Rzeczników Patentowych Sp. z o.o.;NIC: 23 ;VIE: 2705 ;Udzielenie prawa;
003599;002526;1919-11-24;;;01/1925;1925-01-31;SINGER;SG;The Singer Company Limited;Douglas;GB;Jadwiga Szewczyk Polservice Kancelaria Rzeczników Patentowych Sp. z o.o.;NIC: 26 ;VIE: 2705 ;Udzielenie prawa;
003600;002527;1919-11-24;;;01/1925;1925-01-31;S;SG;The Singer Company Limited;Douglas;GB;Jadwiga Szewczyk Polservice Kancelaria Rzeczników Patentowych Sp. z o.o.;NIC: 04 ;VIE: 0203 1503 2705 ;Udzielenie prawa;
003601;002528;1919-11-24;;;01/1925;1925-01-31;SINGER;SG;The Singer Company Limited;Douglas;GB;Jadwiga Szewczyk Polservice Kancelaria Rzeczników Patentowych Sp. z o.o.;NIC: 04 ;VIE: 2705 ;Udzielenie prawa;
003611;002535;1919-11-24;;;01/1925;1925-01-31;S;G;The Singer Company Limited;Douglas;GB;Jadwiga Szewczyk Polservice Kancelaria Rzeczników Patentowych Sp. z o.o.;NIC: 07 ;VIE: 0203 1503 2705 ;Udzielenie prawa;
003612;002536;1919-11-24;;;01/1925;1925-01-31;SINGER;SG;The Singer Company Limited;Douglas;GB;Jadwiga Szewczyk Polservice Kancelaria Rzeczników Patentowych Sp. z o.o.;NIC: 07 ;VIE: 2705 ;Udzielenie prawa;
003613;002537;1919-11-24;;;01/1925;1925-01-31;SINGER;S;The Singer Company Limited;Douglas;GB;Jadwiga Szewczyk Polservice Kancelaria Rzeczników Patentowych Sp. z o.o.;NIC: 07 ;;Udzielenie prawa;
004279;003035;1920-01-02;;;02/1925;1925-02-28;CADBURY;S;CADBURY UK LIMITED;BIRMINGHAM;GB;WANDA KULIKOWSKA;NIC: 30 ;;Udzielenie prawa;
004368;022221;1920-01-07;;;02/1932;1932-02-29;CHARTREUSE;S;COMPAGNIE FRANCAISE DE LA GRANDE CHARTREUSE;VOIRON;FR;Bartosz Krakowiak POLSERVICE Kancelaria Rzeczników Patentowych Spółka z o.o.;NIC: 05 33 ;;Udzielenie prawa;
004507;004552;1920-01-16;;;04/1925;1925-04-30;ABDULLA;S;ABDULLA OF BOND STREET LIMITED;LONDYN;GB;Anna Burakowska PATPOL Spółka z o.o.;NIC: 34 ;;Wygaśnięcie prawa ochronnego;
004687;003311;1920-01-20;;;02/1925;1925-02-28;KODAK;S;EASTMAN KODAK COMPANY;ROCHESTER;US;;NIC: 09 ;;Udzielenie prawa;
004704;003345;1920-01-20;;;02/1925;1925-02-28;INTERNATIONAL;S;International Truck Intellectual Property Company, LLC;Lisle;US;;NIC: 12 ;;Udzielenie prawa;
004705;003325;1920-01-20;;;;;INTERNATIONAL;S;International Harvester Company -corporation of the State of Delaware;Chicago;US;PHZ "Polservice";NIC: 07 22 ;;Wygaśnięcie prawa ochronnego;
004979;003541;1920-02-03;;;;;JOB;SG;SOCIÉTÉ JOB, ANCIENS ETABLISSEMENTS BARDOU-JOB ET PAULIHAC;TULUZA;FR;PHZ "Polservice";NIC: 34 ;VIE: 0505 0513 2607 2705 ;Wygaśnięcie prawa ochronnego;
005163;003655;1920-02-10;;;;;JOB;S;SOLLORE TECHNOLOGIES;ERGUE GABERIC;FR;PHZ "Polservice";NIC: 34 ;;Wygaśnięcie prawa ochronnego;
005195;003680;1920-02-11;;;;;;S;Not available;;;;NIC: 07 21 ;;Udzielenie prawa;
005197;003682;1920-02-11;;;;;;G;TOVARNY STROJIRENSKÉ TECHNIKY, KONCERN;PRAGA;CZ;PHZ "Polservice";NIC: 01 07 19 24 ;VIE: 1702 2601 ;Wygaśnięcie prawa ochronnego;
005198;003683;1920-02-11;;;;;;G;TOVARNY STROJIRENSKÉ TECHNIKY, KONCERN;PRAGA;CZ;PHZ "Polservice";NIC: 01 08 16 ;VIE: 1702 2415 ;Wygaśnięcie prawa ochronnego;
